<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBERP;10;05/01/18;11:20;204.8500000
SBERP;10;05/01/18;11:30;204.9400000
SBERP;10;05/01/18;11:40;205.3800000
SBERP;10;05/01/18;11:50;205.5000000
SBERP;10;05/01/18;12:00;205.3700000
SBERP;10;05/01/18;12:10;205.7400000
SBERP;10;05/01/18;12:20;205.7100000
SBERP;10;05/01/18;12:30;205.2500000
SBERP;10;05/01/18;12:40;205.1800000
SBERP;10;05/01/18;12:50;204.8700000
SBERP;10;05/01/18;13:00;204.9000000
SBERP;10;05/01/18;13:10;204.9900000
SBERP;10;05/01/18;13:20;204.6900000
SBERP;10;05/01/18;13:30;204.3700000
SBERP;10;05/01/18;13:40;204.9500000
SBERP;10;05/01/18;13:50;205.0000000
SBERP;10;05/01/18;14:00;204.8300000
SBERP;10;05/01/18;14:10;205.0000000
SBERP;10;05/01/18;14:20;204.8000000
SBERP;10;05/01/18;14:30;204.7400000
SBERP;10;05/01/18;14:40;204.7000000
SBERP;10;05/01/18;14:50;204.4400000
SBERP;10;05/01/18;15:00;204.0400000
SBERP;10;05/01/18;15:10;203.7000000
SBERP;10;05/01/18;15:20;203.9200000
SBERP;10;05/01/18;15:30;203.9000000
SBERP;10;05/01/18;15:40;203.8200000
SBERP;10;05/01/18;15:50;203.7000000
SBERP;10;05/01/18;16:00;203.7300000
SBERP;10;05/01/18;16:10;203.7500000
SBERP;10;05/01/18;16:20;203.5400000
SBERP;10;05/01/18;16:30;203.5600000
SBERP;10;05/01/18;16:40;203.4700000
SBERP;10;05/01/18;16:50;203.4900000
SBERP;10;05/01/18;17:00;203.2300000
SBERP;10;05/01/18;17:10;203.1500000
SBERP;10;05/01/18;17:20;203.2000000
SBERP;10;05/01/18;17:30;203.3000000
SBERP;10;05/01/18;17:40;203.4800000
SBERP;10;05/01/18;17:50;203.6900000
SBERP;10;05/01/18;18:00;203.7100000
SBERP;10;05/01/18;18:10;203.4100000
SBERP;10;05/01/18;18:20;203.4100000
SBERP;10;05/01/18;18:30;203.6400000
SBERP;10;05/01/18;18:40;203.7400000
SBERP;10;05/01/18;18:50;203.5000000
SBERP;10;09/01/18;10:10;204.3500000
SBERP;10;09/01/18;10:20;204.2100000
SBERP;10;09/01/18;10:30;204.2400000
SBERP;10;09/01/18;10:40;204.2500000
SBERP;10;09/01/18;10:50;203.9200000
SBERP;10;09/01/18;11:00;204.1700000
SBERP;10;09/01/18;11:10;204.9700000
SBERP;10;09/01/18;11:20;205.3500000
SBERP;10;09/01/18;11:30;205.2600000
SBERP;10;09/01/18;11:40;204.9800000
SBERP;10;09/01/18;11:50;205.4700000
SBERP;10;09/01/18;12:00;205.2800000
SBERP;10;09/01/18;12:10;205.5000000
SBERP;10;09/01/18;12:20;205.1600000
SBERP;10;09/01/18;12:30;205.2100000
SBERP;10;09/01/18;12:40;205.1700000
SBERP;10;09/01/18;12:50;205.4900000
SBERP;10;09/01/18;13:00;205.8900000
SBERP;10;09/01/18;13:10;205.7300000
SBERP;10;09/01/18;13:20;205.6400000
SBERP;10;09/01/18;13:30;205.4400000
SBERP;10;09/01/18;13:40;204.8500000
SBERP;10;09/01/18;13:50;204.3600000
SBERP;10;09/01/18;14:00;204.7000000
SBERP;10;09/01/18;14:10;205.1400000
SBERP;10;09/01/18;14:20;205.0000000
SBERP;10;09/01/18;14:30;204.6300000
SBERP;10;09/01/18;14:40;204.6200000
SBERP;10;09/01/18;14:50;204.4800000
SBERP;10;09/01/18;15:00;204.3400000
SBERP;10;09/01/18;15:10;204.3500000
SBERP;10;09/01/18;15:20;204.6700000
SBERP;10;09/01/18;15:30;203.3800000
SBERP;10;09/01/18;15:40;203.3400000
SBERP;10;09/01/18;15:50;203.8700000
SBERP;10;09/01/18;16:00;203.4200000
SBERP;10;09/01/18;16:10;203.3600000
SBERP;10;09/01/18;16:20;203.3800000
SBERP;10;09/01/18;16:30;203.4600000
SBERP;10;09/01/18;16:40;203.4500000
SBERP;10;09/01/18;16:50;203.3500000
SBERP;10;09/01/18;17:00;203.3300000
SBERP;10;09/01/18;17:10;203.1000000
SBERP;10;09/01/18;17:20;203.1400000
SBERP;10;09/01/18;17:30;202.6000000
SBERP;10;09/01/18;17:40;201.5600000
SBERP;10;09/01/18;17:50;202.0000000
SBERP;10;09/01/18;18:00;201.1700000
SBERP;10;09/01/18;18:10;200.6800000
SBERP;10;09/01/18;18:20;200.9000000
SBERP;10;09/01/18;18:30;200.5000000
SBERP;10;09/01/18;18:40;201.0000000
SBERP;10;09/01/18;18:50;201.3000000
SBERP;10;10/01/18;10:10;201.5000000
SBERP;10;10/01/18;10:20;201.4000000
SBERP;10;10/01/18;10:30;201.0200000
SBERP;10;10/01/18;10:40;200.6000000
SBERP;10;10/01/18;10:50;200.8400000
SBERP;10;10/01/18;11:00;200.5600000
SBERP;10;10/01/18;11:10;198.7200000
SBERP;10;10/01/18;11:20;199.0900000
SBERP;10;10/01/18;11:30;199.0100000
SBERP;10;10/01/18;11:40;198.5000000
SBERP;10;10/01/18;11:50;197.5500000
SBERP;10;10/01/18;12:00;196.9600000
SBERP;10;10/01/18;12:10;197.1000000
SBERP;10;10/01/18;12:20;197.6700000
SBERP;10;10/01/18;12:30;197.7500000
SBERP;10;10/01/18;12:40;198.3000000
SBERP;10;10/01/18;12:50;197.9800000
SBERP;10;10/01/18;13:00;199.1900000
SBERP;10;10/01/18;13:10;199.0100000
SBERP;10;10/01/18;13:20;198.4600000
SBERP;10;10/01/18;13:30;197.9300000
SBERP;10;10/01/18;13:40;197.7400000
SBERP;10;10/01/18;13:50;198.2600000
SBERP;10;10/01/18;14:00;197.8500000
SBERP;10;10/01/18;14:10;197.9800000
SBERP;10;10/01/18;14:20;197.9100000
SBERP;10;10/01/18;14:30;198.1100000
SBERP;10;10/01/18;14:40;198.1100000
SBERP;10;10/01/18;14:50;198.1000000
SBERP;10;10/01/18;15:00;197.8200000
SBERP;10;10/01/18;15:10;197.6500000
SBERP;10;10/01/18;15:20;198.0300000
SBERP;10;10/01/18;15:30;198.1500000
SBERP;10;10/01/18;15:40;197.5900000
SBERP;10;10/01/18;15:50;197.7400000
SBERP;10;10/01/18;16:00;197.5600000
SBERP;10;10/01/18;16:10;197.5100000
SBERP;10;10/01/18;16:20;197.2400000
SBERP;10;10/01/18;16:30;196.7000000
SBERP;10;10/01/18;16:40;196.8600000
SBERP;10;10/01/18;16:50;197.0000000
SBERP;10;10/01/18;17:00;196.9300000
SBERP;10;10/01/18;17:10;196.7700000
SBERP;10;10/01/18;17:20;196.8100000
SBERP;10;10/01/18;17:30;196.5300000
SBERP;10;10/01/18;17:40;196.6000000
SBERP;10;10/01/18;17:50;196.9000000
SBERP;10;10/01/18;18:00;196.6000000
SBERP;10;10/01/18;18:10;196.9500000
SBERP;10;10/01/18;18:20;196.9900000
SBERP;10;10/01/18;18:30;197.4200000
SBERP;10;10/01/18;18:40;197.5700000
SBERP;10;10/01/18;18:50;197.5200000
SBERP;10;11/01/18;10:10;196.8000000
SBERP;10;11/01/18;10:20;197.2700000
SBERP;10;11/01/18;10:30;197.3700000
SBERP;10;11/01/18;10:40;197.4900000
SBERP;10;11/01/18;10:50;197.6300000
SBERP;10;11/01/18;11:00;197.4500000
SBERP;10;11/01/18;11:10;197.0600000
SBERP;10;11/01/18;11:20;196.6800000
SBERP;10;11/01/18;11:30;196.9100000
SBERP;10;11/01/18;11:40;196.7400000
SBERP;10;11/01/18;11:50;196.7900000
SBERP;10;11/01/18;12:00;196.7100000
SBERP;10;11/01/18;12:10;198.0000000
SBERP;10;11/01/18;12:20;198.1900000
SBERP;10;11/01/18;12:30;198.9500000
SBERP;10;11/01/18;12:40;198.7100000
SBERP;10;11/01/18;12:50;198.3900000
SBERP;10;11/01/18;13:00;198.9600000
SBERP;10;11/01/18;13:10;198.9800000
SBERP;10;11/01/18;13:20;199.0900000
SBERP;10;11/01/18;13:30;199.5600000
SBERP;10;11/01/18;13:40;199.5000000
SBERP;10;11/01/18;13:50;199.8900000
SBERP;10;11/01/18;14:00;199.4300000
SBERP;10;11/01/18;14:10;199.3200000
SBERP;10;11/01/18;14:20;198.8900000
SBERP;10;11/01/18;14:30;199.1800000
SBERP;10;11/01/18;14:40;198.9800000
